t,x{A=1 x__init=1},y{A=1 x__init=1},x{A=1 x__init=2},y{A=1 x__init=2},x{A=1 x__init=1.5},y{A=1 x__init=1.5},x{A=2 x__init=1},y{A=2 x__init=1},x{A=2 x__init=2},y{A=2 x__init=2},x{A=2 x__init=1.5},y{A=2 x__init=1.5},x{A=3 x__init=1},y{A=3 x__init=1},x{A=3 x__init=2},y{A=3 x__init=2},x{A=3 x__init=1.5},y{A=3 x__init=1.5}
476.7,.41749359421727367,4.240168357371995,.4486689360759631,4.425692454931968,.38754638832688837,3.9452372653529784,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
476.8,.4247004311118069,4.290856860063931,.4587578132616398,4.470240183399171,.3920104518391,4.001799162731996,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
476.9,.4325436290168389,4.3401570408133106,.4698734258526143,4.512702216343236,.3969328081113552,4.057433489553459,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
477,.4410960442133921,4.387928900514264,.4821866060085585,4.552796836815063,.4023234536994258,4.112084000248567,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
477.1,.45044861362867106,4.4340062002224965,.49591394639087044,4.590177303045953,.4082020129940497,4.165683341119795,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
477.2,.4607146723749011,4.478190131182053,.5113332442495634,4.624411102157505,.4145980452055848,4.218151768866253,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
477.3,.4720359072552097,4.520240839827685,.5288058257228293,4.6549504593469635,.4215518093890419,4.269395357853605,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
477.4,.4845906156476696,4.559865943588542,.5488095036489442,4.681089489035098,.4291155519838088,4.319303582940882,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
477.5,.49860529111362867,4.596704738195927,.5719884333692651,4.701900374291894,.43735542485893425,4.367746112639661,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
477.6,.51437112326685,4.630306102856256,.5992306610742653,4.716135600598564,.4463542011196376,4.41456857451672,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
477.7,.5322679349674727,4.660096972593411,.6317926425807828,4.722073328394265,.4562150400589897,4.459586949948746,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
477.8,.55279967063366,4.685336331681724,.6715065661698666,4.717263771840461,.4670666761681171,4.5025801009019055,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
477.9,.5766483402001316,4.705046353800928,.7211401148204709,4.698095581964447,.4790705937941095,4.543279698569389,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
478,.6047583908521263,4.717906328866894,.7850507082008276,4.659018710167234,.49243103861031656,4.581356464570893,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
478.1,.6384730378487692,4.722083833825684,.8704389157135477,4.591076354898573,.5074091778383389,4.616401068312451,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
478.2,.6797628908424703,4.714955814604503,.9898843537700248,4.4789732303212695,.5243434737378482,4.647897105848993,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
478.3,.7316259398259076,4.692627787433549,1.166715133300167,4.294933571679133,.5436795986208274,4.6751820577897325,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
478.4,.798821664461388,4.649064121558805,1.446277445933085,3.9858583140112303,.5660154065524973,4.697389504923668,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
478.5,.8892915655935042,4.574428387591014,1.9132713090682407,3.4529185710057715,.5921703884543663,4.713361240970134,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
478.6,1.0170609919530802,4.451735923132512,2.65729594292176,2.5826443747618226,.6232962935494334,4.721509398355322,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
478.7,1.208414021079232,4.249800731447454,3.451789696718504,1.5805151114733202,.6610596145040634,4.7195923980783405,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
478.8,1.5146201204862524,3.9087156858119148,3.750680624279871,1.016617090622734,.7079549248713736,4.704335928711121,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
478.9,2.0281401360361455,3.3202656747509964,3.633092477250814,.8630211087573635,.7678679467266529,4.670761757880679,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
479,2.816372127178779,2.391722839298779,3.3840902107910686,.8607331877698727,.847140271967356,4.610936492984616,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
479.1,3.5519731552789926,1.434423102690585,3.1143525586175347,.9055574942113311,.9566954160707967,4.511506230957797,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
479.2,3.7495525277368027,.9672970816349877,2.853569883683992,.9680642715530032,1.116500750083847,4.3485812977449365,2.000000000000003,1.4999999999999978,2,1.5,2.000000000000003,1.4999999999999978,3.0000000000000013,.9999999999999993,2.9999999999999987,1.0000000000000007,3.0000000000000013,.9999999999999993
